id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02970762,2157858627,53,2551671536.0,40244255.0,0.03069368,0.02938889,-0.000986069263962844,-3.21261,-48234563.76595497,-2.18642,72714516834.0,85985041177.0,86712634466.0,0.280991,-89.40886,2021-04-19T01:08:21.675Z,0.00191713,1452.32665,2020-03-13T02:29:59.652Z,"{'times': 1.9539071290112742, 'currency': 'eth', 'percentage': 195.39071290112742}",2024-06-14T12:33:02.680Z
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.02065553,2142835594,54,2142835594.0,1045989121.0,0.02137113,0.01683536,0.00319628,18.30706,378929368.0,21.4824,102701033769.173,102701033769.173,102719221714.0,0.02836145,-26.81467,2024-06-02T18:00:38.587Z,0.00461057,350.19256,2024-05-24T07:12:14.147Z,,2024-06-14T12:33:12.079Z
maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,2300.19,2132200872,55,2246481484.0,66637479.0,2302.07,2223.78,6.65,0.29011,23269597.0,1.10338,927898.032455703,977631.036950888,1005577.0,6292.31,-63.40951,2021-05-03T21:54:29.333Z,168.36,1267.55881,2020-03-16T20:52:36.527Z,,2024-06-14T12:33:05.121Z
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00021382,2073249715,56,2138919455.0,338851916.0,0.00022042,0.00020268,-6.604388468425e-06,-2.99621,-43040580.99130106,-2.03377,9692977033313.0,10000000000000.0,10000000000000.0,0.00034495,-37.86151,2024-06-05T07:25:59.137Z,8.428e-08,254227.05696,2021-07-06T01:11:20.438Z,,2024-06-14T12:33:15.299Z
arweave,ar,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,30.36,1990112620,57,1990112620.0,253011709.0,35.23,28.77,-4.806598471549364,-13.66962,-289618319.88799095,-12.70406,65454185.5381511,65454185.5381511,66000000.0,89.24,-65.78149,2021-11-05T04:14:42.689Z,0.298788,10119.60654,2020-01-31T06:47:36.543Z,"{'times': 40.021687145613406, 'currency': 'usd', 'percentage': 4002.1687145613405}",2024-06-14T12:32:54.763Z
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,3905.74,1970762286,58,1970760990.0,11206086.0,3913.71,3817.72,0.793238,0.02031,20360136.0,1.04389,504407.43095462,504407.099157694,,4814.31,-19.02355,2021-12-01T08:03:50.749Z,887.26,339.3799,2022-06-18T20:55:45.957Z,,2024-06-14T12:33:08.627Z
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.648614,1817331477,59,2058052414.0,124954882.0,0.660783,0.63162,-0.012168595986210229,-1.84154,-13793968.835171461,-0.75331,2803634835.52659,3175000000.0,3175000000.0,3.46,-81.2448,2021-10-28T05:19:39.845Z,0.00190227,33999.39995,2020-03-13T02:25:38.280Z,"{'times': 20.620474997586907, 'currency': 'usd', 'percentage': 2062.0474997586907}",2024-06-14T12:33:09.795Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.26,1817019965,60,12585291291.0,430213706.0,1.35,1.22,-0.058757864470872605,-4.45195,-36018050.19249725,-1.94373,1443764727.588207,10000000000.0,10000000000.0,1.48,-14.90881,2024-06-03T08:29:55.744Z,0.082171,1431.30652,2024-01-18T12:14:30.524Z,,2024-06-14T12:33:13.745Z
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,2.0,1782501235,61,1996071694.0,118929143.0,2.0,1.84,0.066765,3.45957,80056498.0,4.70244,893004615.465335,1000000000.0,1000000000.0,7.3,-72.63636,2021-08-20T08:35:20.158Z,0.40615,392.01829,2022-06-18T20:55:12.035Z,,2024-06-14T12:32:59.748Z
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.76,1760019629,62,1760019629.0,21454442.0,1.85,1.72,-0.08670451151016123,-4.69288,-72344020.87009192,-3.94813,1000000000.0,1000000000.0,1000000000.0,15.72,-88.76794,2021-04-16T13:15:11.190Z,0.04039979,4270.4399,2020-03-13T02:24:16.483Z,"{'times': 10.739154059296574, 'currency': 'usd', 'percentage': 1073.9154059296573}",2024-06-14T12:32:51.017Z
